separator,accuracy,top_5_percent
as,0.45256410256410257,True
that,0.43717948717948724,True
these were,0.4230769230769231,True
"""",0.4217948717948718,True
not only,0.42051282051282063,True
so,0.4064102564102564,True
"""and",0.391025641025641,True
", well,",0.3782051282051282,True
this might be,0.3756410256410257,False
in my opinion,0.3756410256410257,False
even,0.37564102564102564,False
"""the story",0.3743589743589743,False
"""The story",0.3743589743589743,False
(,0.36282051282051286,False
,0.36025641025641025,False
"""all",0.36025641025641025,False
"""and thus",0.36025641025641025,False
"""well",0.36025641025641025,False
a,0.3589743589743589,False
you,0.3448717948717949,False
this one is,0.3448717948717949,False
The best part,0.34487179487179487,False
"""just plain",0.34487179487179487,False
this movie,0.3435897435897436,False
it has a,0.3435897435897436,False
The title,0.3435897435897436,False
all that,0.3435897435897436,False
the end of,0.3435897435897436,False
""" a",0.3435897435897436,False
for it,0.3435897435897436,False
just,0.3333333333333333,False
or,0.3307692307692308,False
. {separ,0.32948717948717954,False
it's,0.32948717948717954,False
"""the movie",0.32820512820512826,False
the title,0.3282051282051282,False
this,0.3282051282051282,False
"""all of",0.3282051282051282,False
in fact,0.3282051282051282,False
... and by,0.3282051282051282,False
"""a scene",0.3282051282051282,False
to the point,0.3282051282051282,False
and like,0.31410256410256415,False
I,0.31410256410256415,False
"so far,",0.31410256410256415,False
un,0.31410256410256415,False
;,0.31410256410256415,False
good .,0.31410256410256415,False
[,0.31410256410256415,False
it is,0.31410256410256415,False
a character,0.3141025641025641,False
the film would,0.3141025641025641,False
this movie has,0.3128205128205128,False
"""it's",0.3128205128205128,False
there's,0.3128205128205128,False
"""... he is",0.3128205128205128,False
"""the end",0.3128205128205128,False
for that,0.3128205128205128,False
"""another movie",0.3128205128205128,False
and there,0.3128205128205128,False
...,0.31153846153846154,False
"""it",0.29743589743589743,False
one scene after,0.29743589743589743,False
it,0.29743589743589743,False
the film,0.29743589743589743,False
for,0.29743589743589743,False
", it",0.29743589743589743,False
"""just for",0.29743589743589743,False
"""he",0.29743589743589743,False
", i did it",0.29743589743589743,False
so cute,0.29743589743589743,False
""" the",0.29743589743589743,False
It,0.29743589743589743,False
"""a masterpiece",0.29743589743589743,False
. very funny,0.29743589743589743,False
in,0.29743589743589743,False
a terrific action,0.29743589743589743,False
"""there",0.29743589743589743,False
is,0.29743589743589743,False
this one,0.29743589743589743,False
and the opening,0.29743589743589743,False
""" the narrator",0.29615384615384616,False
and,0.2833333333333333,False
"""A man",0.2833333333333333,False
the,0.28205128205128205,False
with its characters,0.28205128205128205,False
"""a man",0.28205128205128205,False
this script should,0.28205128205128205,False
(no pun intended ),0.28205128205128205,False
This is by,0.28076923076923077,False
is a,0.28076923076923077,False
"""...",0.2794871794871795,False
.,0.267948717948718,False
and a bit,0.267948717948718,False
"""a",0.26666666666666666,False
"""to",0.26538461538461544,False
to,0.26538461538461544,False
another,0.26538461538461544,False
"""the ending",0.26410256410256416,False
the dialogue,0.26410256410256416,False
in the,0.2512820512820513,False
", good",0.2512820512820513,False
", bad",0.2512820512820513,False
if it's,0.2512820512820513,False
it is no good,0.2512820512820513,False
"""something that",0.25,False
"""well you",0.25,False
bad,0.24743589743589745,False
This is the,0.2358974358974359,False
"""just an",0.2358974358974359,False
"""unf",0.23461538461538461,False
but what happened,0.23461538461538461,False
"""a great",0.23461538461538461,False
. good,0.23461538461538461,False
"""that all",0.23461538461538461,False
"""something",0.23461538461538461,False
"""This is",0.23333333333333334,False
a little,0.23333333333333334,False
good,0.23205128205128206,False
bad bad bad,0.21794871794871798,False
"""nothing",0.21794871794871798,False
I didn,0.21794871794871798,False
you won't,0.21794871794871798,False
"""an",0.20512820512820512,False
that doesn,0.20384615384615387,False
many of the,0.20384615384615384,False
A,0.20384615384615384,False
I feel like,0.20384615384615384,False
it fails,0.2025641025641026,False
this is a,0.2012820512820513,False
I never,0.2012820512820513,False
it was never,0.18846153846153849,False
these,0.18846153846153846,False
but this,0.158974358974359,False
if its,0.15769230769230771,False
as the,0.1423076923076923,False
what a,0.13974358974358975,False
The,0.12435897435897439,False
however,0.12435897435897439,False
in this,0.11153846153846154,False
"is, however",0.10897435897435899,False
they can,0.10897435897435899,False
in the first,0.10897435897435899,False
but,0.10769230769230771,False
I know we,0.09487179487179487,False
the only,0.09358974358974359,False
"""the last",0.046153846153846156,False
"""I",0.03076923076923077,False
"""only one",0.03076923076923077,False
"""the best",0.03076923076923077,False
"""the",0.015384615384615385,False
"""I believe",0.015384615384615385,False
"""this",0.0,False
"""if this",0.0,False
"""you have",0.0,False
", ""this",0.0,False
"""there have",0.0,False
"""in one",0.0,False
"""every",0.0,False
"""... this one",0.0,False
